time,north_sea_m_s
1/1/2019 0:00,12.473
1/1/2019 1:00,12.638
1/1/2019 2:00,12.992
1/1/2019 3:00,13.023
1/1/2019 4:00,12.89
1/1/2019 5:00,13.239
1/1/2019 6:00,13.949
1/1/2019 7:00,14.164
1/1/2019 8:00,14.24
1/1/2019 9:00,14.295
1/1/2019 10:00,14.506
1/1/2019 11:00,14.918
1/1/2019 12:00,15.433
1/1/2019 13:00,15.968
1/1/2019 14:00,16.36
1/1/2019 15:00,16.666
1/1/2019 16:00,16.649
1/1/2019 17:00,16.661
1/1/2019 18:00,16.736
1/1/2019 19:00,16.728
1/1/2019 20:00,16.675
1/1/2019 21:00,16.62
1/1/2019 22:00,16.441
1/1/2019 23:00,16.189
1/2/2019 0:00,15.806
1/2/2019 1:00,15.276
1/2/2019 2:00,14.814
1/2/2019 3:00,14.357
1/2/2019 4:00,13.793
1/2/2019 5:00,13.327
1/2/2019 6:00,12.986
1/2/2019 7:00,12.301
1/2/2019 8:00,11.454
1/2/2019 9:00,10.663
1/2/2019 10:00,10.024
1/2/2019 11:00,9.603
1/2/2019 12:00,9.281
1/2/2019 13:00,8.921
1/2/2019 14:00,8.561
1/2/2019 15:00,8.208
1/2/2019 16:00,7.884
1/2/2019 17:00,7.637
1/2/2019 18:00,7.484
1/2/2019 19:00,7.436
1/2/2019 20:00,7.452
1/2/2019 21:00,7.502
1/2/2019 22:00,7.628
1/2/2019 23:00,7.772
1/3/2019 0:00,7.922
1/3/2019 1:00,8.027
1/3/2019 2:00,8.074
1/3/2019 3:00,8.088
1/3/2019 4:00,8.188
1/3/2019 5:00,8.2
1/3/2019 6:00,8.071
1/3/2019 7:00,7.828
1/3/2019 8:00,7.474
1/3/2019 9:00,7.223
1/3/2019 10:00,7.078
1/3/2019 11:00,6.961
1/3/2019 12:00,6.727
1/3/2019 13:00,6.532
1/3/2019 14:00,6.489
1/3/2019 15:00,6.505
1/3/2019 16:00,6.326
1/3/2019 17:00,5.751
1/3/2019 18:00,5.441
1/3/2019 19:00,5.882
1/3/2019 20:00,6.223
1/3/2019 21:00,6.327
1/3/2019 22:00,6.449
1/3/2019 23:00,6.807
1/4/2019 0:00,7.325
1/4/2019 1:00,7.776
1/4/2019 2:00,8.363
1/4/2019 3:00,9.186
1/4/2019 4:00,9.941
1/4/2019 5:00,10.389
1/4/2019 6:00,10.566
1/4/2019 7:00,10.658
1/4/2019 8:00,10.6
1/4/2019 9:00,10.498
1/4/2019 10:00,10.533
1/4/2019 11:00,10.585
1/4/2019 12:00,10.604
1/4/2019 13:00,10.462
1/4/2019 14:00,10.224
1/4/2019 15:00,10.239
1/4/2019 16:00,10.308
1/4/2019 17:00,10.294
1/4/2019 18:00,10.409
1/4/2019 19:00,10.655
1/4/2019 20:00,11.055
1/4/2019 21:00,11.457
1/4/2019 22:00,11.778
1/4/2019 23:00,12.155
1/5/2019 0:00,12.573
1/5/2019 1:00,13.042
1/5/2019 2:00,13.395
1/5/2019 3:00,13.432
1/5/2019 4:00,13.293
1/5/2019 5:00,13.059
1/5/2019 6:00,12.761
1/5/2019 7:00,12.421
1/5/2019 8:00,12.026
1/5/2019 9:00,11.483
1/5/2019 10:00,10.943
1/5/2019 11:00,10.357
1/5/2019 12:00,9.997
1/5/2019 13:00,9.625
1/5/2019 14:00,9.229
1/5/2019 15:00,8.806
1/5/2019 16:00,8.475
1/5/2019 17:00,8.043
1/5/2019 18:00,7.831
1/5/2019 19:00,7.809
1/5/2019 20:00,7.881
1/5/2019 21:00,7.957
1/5/2019 22:00,8.102
1/5/2019 23:00,8.31
1/6/2019 0:00,8.399
1/6/2019 1:00,8.378
1/6/2019 2:00,8.274
1/6/2019 3:00,8.161
1/6/2019 4:00,8.011
1/6/2019 5:00,7.854
1/6/2019 6:00,7.596
1/6/2019 7:00,7.594
1/6/2019 8:00,7.605
1/6/2019 9:00,7.365
1/6/2019 10:00,7.185
1/6/2019 11:00,7.191
1/6/2019 12:00,7.373
1/6/2019 13:00,7.587
1/6/2019 14:00,7.728
1/6/2019 15:00,7.84
1/6/2019 16:00,7.878
1/6/2019 17:00,7.583
1/6/2019 18:00,7.217
1/6/2019 19:00,7.296
1/6/2019 20:00,7.62
1/6/2019 21:00,7.741
1/6/2019 22:00,7.679
1/6/2019 23:00,7.954
1/7/2019 0:00,8.191
1/7/2019 1:00,8.376
1/7/2019 2:00,8.159
1/7/2019 3:00,7.827
1/7/2019 4:00,7.451
1/7/2019 5:00,7.18
1/7/2019 6:00,6.964
1/7/2019 7:00,6.685
1/7/2019 8:00,6.698
1/7/2019 9:00,6.697
1/7/2019 10:00,7.226
